system,core_treatment,n_electrons,clip_width,seed,energy_hartree,error_hartree,variance_hartree2,reference_hartree,hf_cbs_hartree,error_vs_reference_mhartree,correlation_recovered_percent,above_hartree_fock
LiH,all-electron,4,2.0,1234,-8.053074259783337,0.0030238020063343566,0.3087800194686856,-8.066625342496524,-7.987298042684812,13.551082713187057,82.91750413117374,False
LiH,all-electron,4,2.0,7,-8.046528756472572,0.014710242863032642,6.0121488435198795,-8.066625342496524,-7.987298042684812,20.0965860239517,74.66624217431801,False
LiH,all-electron,4,5.0,1234,-7.974634369449387,0.03615599378839464,113.06302194416531,-8.066625342496524,-7.987298042684812,91.9909730471371,-15.963827415635643,True
LiH,all-electron,4,5.0,7,-1.0968171791634823e+21,1.006680572497394e+19,1.4344232970102809e+44,-8.066625342496524,-7.987298042684812,-1.0968171791634823e+24,1.3826478170400954e+24,False
LiH,ccecp,2,2.0,1234,-0.7571633034391302,0.004499670211494142,0.5907594727294542,-0.7881406365616616,-0.7503987256895696,30.97733312253137,17.923251879020917,False
LiH,ccecp,2,2.0,7,-0.7512817952656251,0.004019167312022449,0.5550955044847,-0.7881406365616616,-0.7503987256895696,36.858841296036445,2.3397585221593284,False
LiH,ccecp,2,5.0,1234,-0.5308246265994395,0.20575463045814446,1652.037411168884,-0.7881406365616616,-0.7503987256895696,257.31600996222204,-581.7779068851879,True
LiH,ccecp,2,5.0,7,-0.7632943360796726,0.002744049521367996,0.2524033468163454,-0.7881406365616616,-0.7503987256895696,24.84630048198899,34.167878870273576,False
Be,all-electron,4,2.0,1234,-14.634936673665257,0.00464609750122013,0.5429651724742952,-14.66299648784962,-14.572988437165025,28.05981418436332,68.82521733229169,False
Be,all-electron,4,2.0,7,-14.593222205644876,0.0046491308148125824,0.5642219863069117,-14.66299648784962,-14.572988437165025,69.7742822047438,22.47995409961084,False
Be,all-electron,4,5.0,1234,-14.626108328063525,0.003998210861953216,0.5028207232518618,-14.66299648784962,-14.572988437165025,36.88815978609483,59.01682182257483,False
Be,all-electron,4,5.0,7,-14.591377020087748,0.0075473775999636734,0.48657553042328633,-14.66299648784962,-14.572988437165025,71.619467761872,20.429931303767752,False
Be,ccecp,2,2.0,1234,-0.9159044607138493,0.006521234265917607,1.3767549635225202,-1.0101542311851575,-0.96189257575444,94.24977047130811,-95.2891371631654,True
Be,ccecp,2,2.0,7,65781.65533729695,63836.29582376228,124126139291635.98,-1.0101542311851575,-0.96189257575444,65782665.49152814,-136304104.45474178,True
Be,ccecp,2,5.0,1234,-0.9635196871597158,0.008811893793809788,2.4754924581737474,-1.0101542311851575,-0.96189257575444,46.63454402544165,3.3714372015515384,False
Be,ccecp,2,5.0,7,-1036074.7174141016,652179.634422087,1.3236281434338852e+16,-1.0101542311851575,-0.96189257575444,-1036073707.2598704,2146784535.8285987,False
