system,quantity,basis,n_orbitals,energy_hartree,seconds
H2,HF,cc-pvdz,10,-1.1287094489798903,0.8
H2,HF,cc-pvtz,28,-1.1329605254828752,0.0
H2,HF,cc-pvqz,60,-1.1334590335942543,0.1
H2,HF,cc-pv5z,110,-1.1336081870268186,1.2
H2,FCI_frozen_core,cc-pvtz,28,-1.1723345935424407,0.3
H2,FCI_frozen_core,cc-pvqz,60,-1.1737957922495181,1.1
LiH,HF,cc-pvdz,19,-7.983618612054888,0.0
LiH,HF,cc-pvtz,44,-7.986634146723986,0.1
LiH,HF,cc-pvqz,85,-7.987178252996914,0.5
LiH,FCI_frozen_core,cc-pvtz,44,-8.02230176692635,0.2
LiH,FCI_frozen_core,cc-pvqz,85,-8.023908456542777,8.7
LiH,FCI_all_electron,cc-pcvtz/cc-pvtz,57,-8.064442971042714,482.4
LiH,FCI_frozen_core,cc-pcvtz/cc-pvtz,57,-8.022621273432932,0.0
Be,HF,cc-pvdz,14,-14.572337630953376,0.0
Be,HF,cc-pvtz,30,-14.572873468246208,0.0
Be,HF,cc-pvqz,55,-14.572968127198621,0.1
Be,FCI_frozen_core,cc-pvtz,30,-14.618427012092411,0.1
Be,FCI_frozen_core,cc-pvqz,55,-14.618950731552035,0.6
Be,FCI_all_electron,cc-pcvtz,43,-14.662367538570344,38.8
Be,FCI_frozen_core,cc-pcvtz,43,-14.618655190447127,0.0
