distance_angstrom,hf_energy_hartree,ccsd_energy_hartree,ccsd_t_energy_hartree,hf_relative_kcal_mol,ccsd_relative_kcal_mol,ccsd_t_relative_kcal_mol,mace_relative_kcal_mol,dft_relative_kcal_mol,fci_relative_kcal_mol
2.8,-461.48011733719613,-463.4905938687769,-463.597763065441,0.0,0.0,0.0,0.0,0.0,0.0
3.0,-461.5126891325475,-463.51379847953103,-463.6194923226231,-20.439110170231068,-14.561113090166238,-13.635314746140466,-10.480899299973451,-14.386238157734763,-20.093400355337025
3.2,-461.53181505044256,-463.5261903039112,-463.6307933690935,-32.44080484952989,-22.337100289660405,-20.726828473148547,-15.331709746617602,-21.80593403310913,-31.709124171318248
3.4,-461.5430196129887,-463.5322679614593,-463.6360624443188,-39.471773999965656,-26.15088798118913,-24.0332230965576,-17.236055076020573,-25.368150639478763,-53.319559276659426
3.6,-461.54957929708155,-463.53510397498735,-463.6382995143209,-43.588037915089565,-27.9305133386139,-25.437005717041774,-17.6721018797527,-26.866117091280067,-57.39993757817919
3.8,-461.55341823407696,-463.5362899824513,-463.6390340526005,-45.997007250039104,-28.674744258556554,-25.897935446536074,-17.464269916383586,-27.322184805404394,-59.805236732103985
4.0,-461.55566989095473,-463.5364617463119,-463.6388658464221,-47.409943273182016,-28.78252770837107,-25.79238447600244,-16.95469873244415,-27.298884947592676,-61.23273340714501
4.5,-461.5581056774763,-463.5358810309917,-463.6377600283159,-48.93842239226452,-28.418123343204886,-25.09847313775552,-15.305554190341013,-26.704477748086855,-62.370687408721686
5.0,-461.5588818221347,-463.53519624947444,-463.6367647877137,-49.42546051865568,-27.988416453475747,-24.473950230897728,-15.088905845456496,-26.16772780610456,-63.00374756042456
6.0,-461.5594265778732,-463.5343033644209,-463.6356286623568,-49.767299905598435,-27.428122623135554,-23.761020805732617,-15.088905845456496,-25.638933641517045,-63.59031286442014
